"Time [s]"	"Coolant Temperature"	"Intake Manifold Pressure"	"Engine RPM"	"Vehicle Speed"	"Distance since MIL activated"	"Fuel Level Input"	"Distance since ECU reset"	"CAT Temperature B1S1"	"Absolute Engine Load"	"Commanded Equivalence Ratio"	"Ethanol fuel %"	
    2021-06-03 13:15:27.490	88.0	75.0	1422.5	15.0	0.0	98.03921508789062	4334.0	561.5	33.72549057006836	102.55126953125	22.352941513061523	
    2021-06-03 13:15:28.595	88.0	85.0	1509.25	16.0	0.0	100.0	4334.0	561.0999755859375	63.92156982421875	96.826171875	22.352941513061523	
    2021-06-03 13:15:29.698	88.0	58.0	1785.0	20.0	0.0	98.4313735961914	4334.0	562.0999755859375	43.13725662231445	99.13330078125	22.352941513061523	
    2021-06-03 13:15:30.753	88.0	70.0	1800.75	19.0	0.0	97.2549057006836	4334.0	563.7999877929688	34.509803771972656	98.3551025390625	22.352941513061523	
    2021-06-03 13:15:31.803	88.0	72.0	1834.25	20.0	0.0	97.64705657958984	4334.0	564.9000244140625	39.2156867980957	96.8017578125	22.352941513061523	
    2021-06-03 13:15:32.826	89.0	69.0	1945.0	21.0	0.0	99.21568298339844	4334.0	565.7999877929688	38.82352828979492	100.1373291015625	22.352941513061523	
    2021-06-03 13:15:33.812	89.0	72.0	2070.0	23.0	0.0	100.0	4334.0	566.5999755859375	45.490196228027344	98.7457275390625	22.352941513061523	
    2021-06-03 13:15:34.800	89.0	75.0	2253.0	25.0	0.0	100.0	4334.0	567.5999755859375	45.09803771972656	98.5992431640625	22.352941513061523	
    2021-06-03 13:15:35.854	89.0	61.0	2430.75	27.0	0.0	100.0	4334.0	568.4000244140625	19.60784339904785	89.9993896484375	22.352941513061523	
    2021-06-03 13:15:36.851	89.0	95.0	1810.75	27.0	0.0	100.0	4334.0	568.7000122070312	65.88235473632812	99.2523193359375	22.352941513061523	
    2021-06-03 13:15:37.890	90.0	102.0	1715.5	29.0	0.0	97.64705657958984	4334.0	572.7999877929688	79.21568298339844	100.3173828125	22.352941513061523	
    2021-06-03 13:15:38.912	90.0	96.0	1918.75	33.0	0.0	100.0	4334.0	581.2000122070312	72.54901885986328	97.3907470703125	22.352941513061523	
    2021-06-03 13:15:39.928	90.0	102.0	2085.75	36.0	0.0	98.03921508789062	4334.0	591.5	74.11764526367188	96.56982421875	22.352941513061523	
